Aatrox	Fighter	395	85	55	3.2	5.75	0.5	0.651	0.03	14	3.8	30	1.25	345	150	0
Ahri	Mage	380	80	50	3	5.5	0.6	0.668	0.02	11	3.5	30	0	330	550	0
Akali	Assassin	445	85	53	3.2	7.25	0.65	0.694	0.031	16.5	3.5	30	1.25	350	125	0
Alistar	Tank	442	102	55.03	3.62	7.25	0.85	0.625	0.02125	14.5	3.5	30	1.25	330	125	0
Amumu	Tank	472	84	47	3.8	7.45	0.85	0.638	0.0218	18	3.3	30	1.25	335	125	0
Anivia	Mage	350	70	48	3.2	4.65	0.55	0.625	0.0168	10.5	4	30	0	325	600	0
Annie	Mage	384	76	48	2.625	4.5	0.55	0.579	0.0136	8.5	4	30	0	335	625	0
Ashe	Marksman	395	79	46.3	2.85	4.5	0.55	0.658	0.04	11.5	3.4	30	0	325	600	0
Blitzcrank	Tank	423	95	55.66	3.5	7.25	0.75	0.625	0.0113	14.5	3.5	30	1.25	325	125	0
Brand	Mage	380	76	52	3	4.5	0.55	0.625	0.0136	12	3.5	30	0	340	550	0
Caitlyn	Marksman	390	80	47	3	4.75	0.55	0.625	0.04	13	3.5	30	0	325	650	0
Cassiopeia	Mage	380	75	47	3.2	4.85	0.5	0.647	0.0168	11.5	4	30	0	335	550	0
Cho'Gath	Tank	440	80	54.1	4.2	7.5	0.85	0.625	0.0144	19	3.5	30	1.25	345	125	0
Corki	Marksman	375	82	48.2	3	4.5	0.55	0.625	0.023	13.5	3.5	30	0	325	550	0
Darius	Fighter	426	93	50	3.5	8.25	0.95	0.679	0.0265	20	3.5	30	1.25	340	125	0
Diana	Assassin	438	90	48	3	6	0.85	0.625	0.0225	16	3.6	30	1.25	345	150	0
Dr. Mundo	Tank	433	89	56.23	3	6.5	0.75	0.625	0.028	17	3.5	30	1.25	345	125	0
Draven	Marksman	420	82	46.5	3.5	5	0.7	0.679	0.027	16	3.3	30	0	330	550	0
Elise	Fighter	395	80	47.5	3	4.7	0.6	0.625	0.0175	12.5	3.35	30	0	335	550	0
Evelynn	Assassin	380	90	48	3.5	8.9	0.55	0.625	0.036	12	4	30	1.25	340	125	0
Ezreal	Marksman	350	80	47.2	3	5.5	0.55	0.625	0.028	12	3.5	30	0	325	550	0
Fiddlesticks	Mage	390	80	45.95	2.625	4.6	0.6	0.625	0.0211	11	3.5	30	0	335	480	0
